"id";"auto_increment";"created_at";"field_140";"field_141"
"DVWQWRNZ49";"1";"2019-04-24 19:55:17";"Agua verde";"83"
"4MXQJdrZ6v";"2";"2019-04-26 10:09:26";"Abranches";"84"
"5m9N0njzqk";"3";"2019-04-26 10:09:29";"A Verde";"85"
"4PzQ4GNJGV";"4";"2019-04-26 10:09:36";"Ahu";"86"
"oaANB1r1by";"5";"2019-04-26 10:09:43";"A Boqueirao";"87"
"o6WQb5NnBZ";"6";"2019-04-26 10:09:47";"Alto XV";"88"
"lGArg7rmR6";"7";"2019-04-26 10:09:52";"A Gloria";"89"
"eykNOvrDY3";"8";"2019-04-26 10:09:56";"Atuba";"90"
"K2ejlOQo9B";"9";"2019-04-26 10:10:00";"Augusta";"91"
"698rd2QZwd";"10";"2019-04-26 10:10:04";"Bacacheri";"92"
"q3kjZVj6Vb";"11";"2019-04-26 10:10:09";"B Alto";"93"
"JDXQ80QYRl";"12";"2019-04-26 10:10:17";"Batel";"94"
"VX9QoerwYv";"13";"2019-04-26 10:10:21";"Bigorrilho";"95"
"L5MjKxr0kq";"14";"2019-04-26 10:10:25";"B Vista";"96"
"DVarwJjORP";"15";"2019-04-26 10:10:29";"B Retiro";"97"
"K68j9gN2V7";"16";"2019-04-26 10:10:33";"Butiatuvinha";"98"
"6b1rAKQKkA";"17";"2019-04-26 10:10:37";"Cabral";"99"
"3GDN1mNeqP";"18";"2019-04-26 10:10:42";"Cachoeira";"100"
"X9EjVXNo2K";"19";"2019-04-26 10:10:45";"Cajuru";"101"
"DkMjmwNvV6";"20";"2019-04-26 10:10:49";"C Siqueira";"102"
"pPEryWQOnV";"21";"2019-04-26 10:10:54";"C Comprido";"103"
"PblNe6QxwL";"22";"2019-04-26 10:10:58";"C Santana";"104"
"4YZjnDNPvl";"23";"2019-04-26 10:11:01";"C Imbuia";"105"
"ObEjEONK5p";"24";"2019-04-26 10:11:05";"C Raso";"106"
"7oOjDdjB9A";"25";"2019-04-26 10:11:09";"Cascatinha";"107"
"4Z9Q29N2mo";"26";"2019-04-26 10:11:13";"Caximba";"108"
"m72NporwvZ";"27";"2019-04-26 10:12:32";"Centro";"109"
"l5nQxLQxYX";"28";"2019-04-26 10:12:36";"C Cívico";"110"
"3xPjXYrKGE";"29";"2019-04-26 10:12:41";"CIC";"111"
"oGWN5qNlAe";"30";"2019-04-26 10:12:45";"C Rei";"112"
"mloNLGrM8p";"31";"2019-04-26 10:12:50";"Fanny";"113"
"B8qQPZr16n";"32";"2019-04-26 10:12:54";"Fazendinha";"114"
"W4yQk4jgPK";"33";"2019-04-26 10:12:58";"Ganchinho";"115"
"W0VNq8rmlK";"34";"2019-04-26 10:13:04";"Guaira";"116"
"kVXr7xNJed";"35";"2019-04-26 10:13:08";"Hauer";"117"
"JawrRJr5kq";"36";"2019-04-26 10:13:14";"H Lange";"118"
"kOGQ3gQlnA";"37";"2019-04-26 10:13:19";"J Americas";"119"
"0DzjGaNYp1";"38";"2019-04-26 10:13:23";"J Botanico";"120"
"LX6QawrZk4";"39";"2019-04-26 10:13:27";"J Social";"121"
"M03rzbr69d";"40";"2019-04-26 10:13:33";"Juveve";"122"
"53GN6vNzxo";"41";"2019-04-26 10:13:36";"L Pequena";"123"
"4AXQvaNLYp";"42";"2019-04-26 10:13:40";"Lindoia";"124"
"P74QYbjBEm";"43";"2019-04-26 10:13:44";"Merces";"125"
"ka6jMnor75";"44";"2019-04-26 10:14:00";"Mossungue";"126"
"DVWQWRRNZ4";"45";"2019-04-26 10:14:03";"Ecoville";"127"
"4MXQJEdNZ6";"46";"2019-04-26 10:14:08";"N Mundo";"128"
"5m9N0onrzq";"47";"2019-04-26 10:14:12";"Orleans";"129"
"4PzQ4yGjJG";"48";"2019-04-26 10:14:16";"Parolin";"130"
"oaANBE1r1b";"49";"2019-04-26 10:14:21";"Pilarzinho";"131"
"o6WQbJ5QnB";"50";"2019-04-26 10:14:37";"Pinheirinho";"132"
"lGArg57QmR";"51";"2019-04-26 10:14:42";"Portao";"133"
"eykNOwvNDY";"52";"2019-04-26 10:14:47";"P Velho";"134"
"K2ejl6ONo9";"53";"2019-04-26 10:14:51";"Champagnat";"135"
"698rd32jZw";"54";"2019-04-26 10:14:57";"Rebouças";"136"
"q3kjZ2Vj6V";"55";"2019-04-26 10:15:01";"Riviera";"137"
"JDXQ8E0jYR";"56";"2019-04-26 10:15:05";"S Candida";"138"
"VX9QoZeNwY";"57";"2019-04-26 10:15:09";"S Felicidade";"139"
"L5MjKqxN0k";"58";"2019-04-26 10:15:13";"S Quiteria";"140"
"DVarwKJrOR";"59";"2019-04-26 10:15:17";"S Inacio";"141"
"K68j92gr2V";"60";"2019-04-26 10:15:21";"S Bras";"142"
"6b1rA8KjKk";"61";"2019-04-26 10:15:25";"S Francisco";"143"
"3GDN1ZmQeq";"62";"2019-04-26 10:15:29";"S Joao";"144"
"X9EjVzXjo2";"63";"2019-04-26 10:15:33";"S Lourenco";"145"
"DkMjmvwrvV";"64";"2019-04-26 10:15:37";"S Miguel";"146"
"pPErydWjOn";"65";"2019-04-26 10:15:43";"Seminario";"147"
"PblNe86rxw";"66";"2019-04-26 10:15:47";"S Cercado";"148"
"4YZjnnDjPv";"67";"2019-04-26 10:15:52";"Taboao";"149"
"ObEjEpOQK5";"68";"2019-04-26 10:15:57";"Taruma";"150"
"7oOjD1drB9";"69";"2019-04-26 10:16:01";"Tatuquara";"151"
"4Z9Q2G9j2m";"70";"2019-04-26 10:16:05";"Tingui";"152"
"m72NpJojwv";"71";"2019-04-26 10:16:12";"Tangua";"153"
"l5nQx1LjxY";"72";"2019-04-26 10:16:16";"Umbara";"154"
"3xPjX7YQKG";"73";"2019-04-26 10:16:20";"V Izabel";"155"
"oGWN5eqNlA";"74";"2019-04-26 10:16:24";"V Alegre";"156"
"mloNL2GjM8";"75";"2019-04-26 10:16:28";"Xaxim";"157"
"B8qQPyZj16";"76";"2019-04-29 18:04:46";"Boqueirao";"158"
"W4yQk34QgP";"77";"2019-04-29 18:05:10";"Barreirinha";"159"
"W0VNqy8Nml";"78";"2019-11-06 09:15:36";"São Jose dos Pinhais";"160"
"kVXr7nxjJe";"79";"2019-11-06 09:15:46";"Pinhais";"161"
"JawrRRJr5k";"80";"2019-11-06 09:15:50";"Araucária";"162"
"kOGQ3ogQln";"81";"2019-11-06 09:18:26";"Colombo";"163"
"0DzjGXarYp";"82";"2019-11-06 09:18:37";"A Tamandaré";"164"
"LX6QaLwNZk";"83";"2019-11-06 09:18:45";"C Gde Sul";"165"
"M03rzEbj69";"84";"2019-11-06 09:18:52";"Campina Grande do Sul";"166"
"53GN69vrzx";"85";"2019-11-06 09:18:59";"Piraquara";"167"
"4AXQvvaQLY";"86";"2019-11-06 09:19:13";"Fazenda Rio Grande";"168"
"P74QY8bNBE";"87";"2019-11-06 09:19:23";"Campo Largo";"169"
"ka6jMGoN75";"88";"2019-11-06 09:19:27";"Campo Magro";"170"
"DVWQW2RNZ4";"89";"2019-11-06 09:19:39";"Quatro Barras";"171"
"4MXQJddrZ6";"90";"2019-11-06 09:19:46";"Litoral";"172"
"5m9N07nrzq";"91";"2019-11-06 09:20:01";"Curitiba";"173"
"4PzQ40GQJG";"92";"2020-01-14 16:26:31";"Sul";"174"
"oaANB91r1b";"93";"2020-01-14 16:26:42";"Central";"175"
"o6WQba5NnB";"94";"2020-01-14 16:26:55";"Nordeste/Norte";"176"
"lGArg97QmR";"95";"2020-01-14 16:27:00";"Oeste";"177"
"eykNODvQDY";"96";"2020-01-14 16:27:18";"Noroeste/Oeste";"178"
"K2ejlvONo9";"97";"2020-01-14 16:30:59";"C Largo";"179"
"698rdO2jZw";"98";"2020-01-14 16:31:10";"B Nova";"180"
"q3kjZDVN6V";"99";"2020-01-14 16:31:18";"Lapa";"181"
"ka6jMGMN75";"100";"2020-01-14 16:31:26";"Araucaria";"182"
